Simulation number,Load size 1,Load size 2,Load size 3,Load size 4,Operation time 1,Operation time 2,Operation time 3,Operation time 4,Available time 1,Available time 2,Available time 3,Available time 4,Max loads 1,Max loads 2,Max loads 3,Max loads 4,Stops 1,Stops 2,Stops 3,Stops 4
1,5,5,4,4,40,35,26,13,60,65,74,87,0,2,1,0,117,108,74,29,
2,6,4,5,6,43,32,28,20,57,68,72,80,1,0,0,2,138,91,86,59,
3,5,5,5,5,40,35,27,19,60,66,73,81,0,0,0,0,116,97,81,57,
4,5,5,4,5,42,33,28,18,58,67,72,82,1,0,0,0,140,95,85,57,
5,5,5,6,4,43,40,34,21,57,60,66,79,3,1,3,0,133,118,111,57,
6,5,5,5,4,44,36,26,16,56,64,74,84,2,1,1,0,149,103,83,44,
7,5,4,6,6,41,31,28,24,59,69,72,76,1,0,0,2,121,78,88,72,
8,5,5,4,6,40,34,25,16,60,66,75,84,1,1,0,1,121,99,72,56,
9,5,5,4,4,42,36,24,15,58,64,76,85,2,2,0,0,123,114,64,38,
10,6,5,5,5,43,38,26,20,57,62,74,80,1,1,0,0,141,118,81,60,
Average,5,5,5,5,42,35,27,18,58,65,73,82,1,1,1,1,130,102,83,53,
